,medallion, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude, fake_pickup_latitude, fake_pickup_longitude,pickup_walking_time, fake_dropoff_latitude, fake_dropoff_longitude,dropoff_walking_time
31,2010000032,2010-01-01 00:00:28,2010-01-01 00:08:51,2,8.38,1.8,-74.002014,40.750805,-74.008957,40.730881,40.750549,-74.001626,42.0,40.731443,-74.009903,83.0
32,2010000033,2010-01-01 00:00:31,2010-01-01 00:06:38,1,6.12,1.4,-73.977303,40.779507,-73.989899,40.762012,40.780854,-73.976517,121.0,40.762202,-73.990817,95.0
33,2010000034,2010-01-01 00:00:33,2010-01-01 00:17:58,1,17.42,4.4,-73.96127299999999,40.774784000000004,-73.98751800000001,40.721779,40.776024,-73.961400,137.0,40.721151,-73.986626,130.0
34,2010000035,2010-01-01 00:00:33,2010-01-01 00:00:55,1,0.37,0.0,-73.97721899999999,40.749634,-73.977325,40.749629999999996,40.749603,-73.977093,1.0,40.748926,-73.975892,92.0
35,2010000036,2010-01-01 00:00:35,2010-01-01 00:06:23,1,5.8,1.8,-73.963303,40.798477,-73.95166800000001,40.781746000000005,40.799361,-73.964747,124.0,40.781835,-73.952566,92.0
36,2010000037,2010-01-01 00:00:38,2010-01-01 00:13:52,3,13.23,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2010000038,2010-01-01 00:00:41,2010-01-01 00:09:35,1,8.9,2.1,-73.991104,40.750191,-73.99717700000001,40.724567,40.748969,-73.991408,138.0,40.725954,-73.998195,170.0
38,2010000039,2010-01-01 00:00:41,2010-01-01 00:16:28,4,15.78,3.2,-73.982285,40.757618,-74.00059499999999,40.730709000000004,40.757332,-73.981292,82.0,40.729902,-74.000645,93.0
39,2010000040,2010-01-01 00:00:42,2010-01-01 00:07:34,1,6.87,1.8,-74.010765,40.716282,-73.996475,40.732327000000005,40.716036,-74.011708,124.0,40.733540,-73.995601,122.0
40,2010000041,2010-01-01 00:00:42,2010-01-01 00:19:04,2,18.37,7.3,-73.969238,40.797965999999995,-74.004463,40.717175,40.797408,-73.967957,110.0,40.717901,-74.003825,152.0
41,2010000042,2010-01-01 00:00:43,2010-01-01 00:04:22,2,3.65,0.6,-73.956001,40.776157,-73.948296,40.775581,40.776446,-73.954789,109.0,40.776002,-73.947509,125.0
42,2010000043,2010-01-01 00:00:44,2010-01-01 00:10:31,4,9.78,2.0,-73.99838299999999,40.724606,-73.991341,40.74892,40.725591,-73.998956,121.0,40.750148,-73.991511,163.0
43,2010000044,2010-01-01 00:00:44,2010-01-01 00:10:51,1,10.12,2.4,-73.996078,40.73214,-74.009003,40.705234999999995,40.731824,-73.997102,73.0,40.704453,-74.010246,118.0
44,2010000045,2010-01-01 00:00:45,2010-01-01 00:25:18,3,24.55,13.8,-73.976303,40.785854,-73.866516,40.92667,40.784603,-73.977720,158.0,40.926774,-73.866155,22.0
45,2010000046,2010-01-01 00:00:46,2010-01-01 00:03:52,1,3.1,0.9,-73.956703,40.717289,-73.957603,40.708954,40.717556,-73.955483,101.0,40.707906,-73.957323,161.0
46,2010000047,2010-01-01 00:00:46,2010-01-01 00:03:04,1,2.3,0.5,-73.953636,40.771008,-73.952522,40.776531,40.771496,-73.954303,57.0,40.775705,-73.952188,121.0
47,2010000048,2010-01-01 00:00:46,2010-01-01 00:31:26,1,30.66,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2010000049,2010-01-01 00:00:46,2010-01-01 00:07:38,1,6.87,1.2,-73.974319,40.763157,-73.98026999999999,40.748528,40.761842,-73.974982,151.0,40.748389,-73.981522,124.0
49,2010000050,2010-01-01 00:00:47,2010-01-01 00:04:36,4,3.82,0.7,-73.998672,40.734123,-73.993217,40.730979999999995,40.734147,-73.999728,82.0,40.730708,-73.993540,36.0
50,2010000051,2010-01-01 00:00:48,2010-01-01 00:06:21,1,5.55,1.7,-73.959862,40.813721,-73.94896700000001,40.829994,40.814598,-73.960593,104.0,40.830597,-73.948266,170.0
51,2010000052,2010-01-01 00:00:48,2010-01-01 00:35:07,4,34.32,23.8,-73.871223,40.773987,-73.734146,41.006832,40.775095,-73.870698,176.0,41.006578,-73.733910,25.0
52,2010000053,2010-01-01 00:00:49,2010-01-01 00:02:35,1,1.77,0.2,-73.97867600000001,40.75016,-73.98291800000001,40.751945,40.749363,-73.978567,130.0,40.752274,-73.983058,19.0
53,2010000054,2010-01-01 00:00:49,2010-01-01 00:04:49,2,4.0,0.9,-73.98938000000001,40.720375,-74.001289,40.725372,40.721024,-73.990611,128.0,40.726348,-74.002713,172.0
54,2010000055,2010-01-01 00:00:49,2010-01-01 00:08:51,1,8.029999999999998,1.4,-73.999496,40.743977,-73.980797,40.748591999999995,40.744256,-73.998118,131.0,40.748382,-73.980853,43.0
55,2010000056,2010-01-01 00:00:50,2010-01-01 00:18:01,1,17.18,11.5,-73.988152,40.71841,-73.82468399999999,40.727577000000004,40.718961,-73.989108,111.0,40.728319,-73.824472,65.0
56,2010000057,2010-01-01 00:00:50,2010-01-01 00:03:00,1,2.17,0.4,-73.981667,40.75695,-73.978317,40.76178,40.756511,-73.982285,95.0,40.761351,-73.977100,84.0
57,2010000058,2010-01-01 00:00:51,2010-01-01 00:10:15,1,9.4,4.0,-73.985504,40.727238,-73.94950899999999,40.777843,40.727141,-73.986494,87.0,40.776878,-73.950387,178.0
58,2010000059,2010-01-01 00:00:52,2010-01-01 00:12:20,1,11.47,2.8,-73.988998,40.730885,-73.961792,40.76442,40.729448,-73.988673,127.0,40.765124,-73.961705,102.0
59,2010000060,2010-01-01 00:00:54,2010-01-01 00:25:56,3,25.03,7.2,-73.97081800000001,40.796089,-73.98719,40.770157,40.795636,-73.971091,31.0,40.769606,-73.988631,117.0
60,2010000061,2010-01-01 00:00:55,2010-01-01 00:06:17,2,5.37,1.0,-74.01218399999999,40.701617999999996,-73.9991,40.711777000000005,40.700966,-74.010928,132.0,40.712444,-73.998032,129.0
61,2010000062,2010-01-01 00:00:56,2010-01-01 00:06:14,1,5.3,0.8,-73.97998,40.770767,-73.986038,40.763985,40.770536,-73.979447,34.0,40.764385,-73.984803,138.0
62,2010000063,2010-01-01 00:00:57,2010-01-01 00:15:22,1,14.42,2.0,-73.997475,40.726013,-73.995819,40.748833000000005,40.724797,-73.996897,163.0,40.748428,-73.996275,41.0
63,2010000064,2010-01-01 00:00:59,2010-01-01 00:06:54,1,5.92,1.4,-73.985825,40.726784,-73.975372,40.744701,40.725671,-73.986699,106.0,40.743632,-73.975269,177.0
64,2010000065,2010-01-01 00:00:59,2010-01-01 00:12:49,2,11.83,3.0,-74.00071,40.74646,-74.00071,40.74646,40.746096,-74.001738,97.0,40.746147,-74.000856,89.0
65,2010000066,2010-01-01 00:00:59,2010-01-01 00:12:19,4,11.33,2.3,-73.994003,40.744415000000004,-74.004227,40.721992,40.744333,-73.995354,111.0,40.720972,-74.004314,106.0
66,2010000067,2010-01-01 00:00:59,2010-01-01 00:03:35,1,2.6,0.7,-73.99652900000001,40.753227,-74.002853,40.744308000000004,40.753970,-73.996223,71.0,40.744632,-74.003331,68.0
67,2010000068,2010-01-01 00:01:00,2010-01-01 00:37:00,1,36.0,18.6,-73.789642,40.646881,-73.9879,40.768887,40.646489,-73.790521,72.0,40.769809,-73.988350,132.0
68,2010000069,2010-01-01 00:01:00,2010-01-01 00:09:15,1,8.25,1.3,-74.00386,40.742996000000005,-73.985596,40.732624,40.741600,-74.003360,154.0,40.733120,-73.986781,85.0
69,2010000070,2010-01-01 00:01:00,2010-01-01 00:22:00,1,21.0,7.02,-73.98774,40.732708,-73.948013,40.80389,40.733048,-73.987145,63.0,40.804516,-73.947130,107.0
70,2010000071,2010-01-01 00:01:00,2010-01-01 00:24:00,1,23.0,6.23,-74.005791,40.726059,-73.958603,40.779125,40.727378,-74.005070,130.0,40.777982,-73.959329,126.0
71,2010000072,2010-01-01 00:01:00,2010-01-01 00:20:00,1,19.0,3.45,-73.986664,40.737751,-73.9804,40.770302,40.736689,-73.985378,164.0,40.770385,-73.979400,105.0
72,2010000073,2010-01-01 00:01:00,2010-01-01 00:01:00,1,0.0,0.0,-73.942314,40.784332,-73.942314,40.784332,40.784888,-73.941396,70.0,40.785385,-73.943457,150.0
73,2010000074,2010-01-01 00:01:00,2010-01-01 00:26:00,2,25.0,11.73,-73.957512,40.77383,-73.85804,40.883728000000005,40.772743,-73.958832,128.0,40.883903,-73.858650,39.0
74,2010000075,2010-01-01 00:01:00,2010-01-01 00:55:00,1,54.0,15.76,-73.987297,40.750538,-73.790787,40.767672999999995,40.751222,-73.987777,77.0,40.766970,-73.792204,163.0
75,2010000076,2010-01-01 00:01:00,2010-01-01 00:30:00,1,29.0,5.35,-73.97177099999999,40.749722,-73.964905,40.805988,40.748949,-73.970934,133.0,40.806978,-73.966153,175.0
76,2010000077,2010-01-01 00:01:00,2010-01-01 00:11:00,2,10.0,1.58,-73.99080699999999,40.736393,-74.002663,40.750023,40.736099,-73.990763,19.0,40.750449,-74.001646,122.0
77,2010000078,2010-01-01 00:01:00,2010-01-01 00:08:00,1,7.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2010000079,2010-01-01 00:01:00,2010-01-01 00:27:00,2,26.0,12.06,-73.991104,40.733973999999996,-73.916054,40.870734999999996,40.735263,-73.992116,163.0,40.871592,-73.917094,127.0
79,2010000080,2010-01-01 00:01:00,2010-01-01 01:00:00,1,59.0,14.25,-73.946663,40.788815,-73.974388,40.638172,40.789650,-73.946424,96.0,40.637268,-73.975660,155.0
80,2010000081,2010-01-01 00:01:00,2010-01-01 00:17:00,1,16.0,5.09,-73.963539,40.765739,-73.993866,40.725681,40.767102,-73.964357,176.0,40.724465,-73.993111,151.0
81,2010000082,2010-01-01 00:01:02,2010-01-01 00:05:56,1,4.9,1.8,-73.862709,40.769009000000004,-73.866989,40.767379999999996,40.769145,-73.861780,18.0,40.767041,-73.865908,69.0
82,2010000083,2010-01-01 00:01:02,2010-01-01 00:11:56,2,10.9,2.3,-73.974564,40.751968,-73.962479,40.769669,40.752628,-73.974331,167.0,40.769777,-73.963099,49.0
83,2010000084,2010-01-01 00:01:03,2010-01-01 00:09:05,3,8.029999999999998,1.2,-74.009377,40.715614,-73.994652,40.719631,40.714761,-74.008605,123.0,40.721072,-73.994612,158.0
