(0, 535)
(0, 541)
(0, 549)
(0, 594)
(0, 619)
(0, 627)
(0, 636)
(1, 23)
(1, 29)
(1, 76)
(1, 85)
(1, 93)
(1, 100)
(1, 103)
(1, 116)
(1, 119)
(1, 136)
(1, 142)
(1, 151)
(1, 155)
(1, 170)
(1, 212)
(1, 231)
(1, 247)
(1, 272)
(1, 281)
(1, 291)
(1, 298)
(1, 308)
(1, 315)
(1, 329)
(1, 332)
(1, 337)
(1, 348)
(1, 351)
(1, 356)
(1, 357)
(1, 369)
(1, 374)
(1, 382)
(1, 389)
(1, 392)
(1, 425)
(1, 427)
(1, 433)
(1, 440)
(1, 447)
(1, 450)
(1, 452)
(1, 453)
(1, 455)
(1, 459)
(1, 465)
(1, 466)
(1, 467)
(1, 469)
(1, 471)
(1, 483)
(1, 486)
(1, 491)
(1, 494)
(1, 496)
(1, 499)
(1, 508)
(1, 509)
(1, 512)
(1, 516)
(1, 519)
(1, 523)
(1, 530)
(1, 537)
(1, 538)
(1, 545)
(1, 547)
(1, 553)
(1, 554)
(1, 560)
(1, 571)
(1, 574)
(1, 576)
(1, 583)
(1, 586)
(1, 593)
(1, 600)
(1, 604)
(1, 607)
(1, 611)
(1, 616)
(1, 633)
(1, 634)
(1, 640)
(1, 644)
(1, 653)
(1, 656)
(1, 657)
(1, 659)
(1, 660)
(1, 664)
(1, 678)
(1, 682)
(2, 19)
(2, 80)
(2, 87)
(2, 126)
(2, 162)
(2, 191)
(2, 233)
(2, 234)
(2, 246)
(2, 363)
(2, 380)
(2, 401)
(2, 408)
(2, 411)
(2, 451)
(2, 473)
(2, 474)
(2, 505)
(2, 562)
(2, 577)
(2, 592)
(2, 646)
(2, 660)
(2, 663)
(3, 185)
(3, 310)
